pl_name,hostname,disc_year,pl_rade,pl_orbper,pl_orbsmax,st_teff,habitable
Kepler-210 c,Kepler-210,2014.0,3.62,7.972513,0.07,4559.0,0
Kepler-211 b,Kepler-211,2014.0,1.26,4.138575,0.048,5123.0,0
Kepler-211 c,Kepler-211,2014.0,1.29,6.04045,0.062,5123.0,0
Kepler-212 b,Kepler-212,2014.0,1.09,16.257582,0.133,5852.0,0
Kepler-212 c,Kepler-212,2014.0,2.74,31.805174,0.207,5852.0,0
Kepler-213 b,Kepler-213,2014.0,1.62,2.46236,0.036,5696.0,0
Kepler-213 c,Kepler-213,2014.0,2.34,4.822962,0.057,5696.0,0
Kepler-214 b,Kepler-214,2014.0,2.61,15.660544,0.13,6169.0,0
Kepler-214 c,Kepler-214,2014.0,2.13,28.7798,0.194,6169.0,0
Kepler-215 b,Kepler-215,2014.0,1.62,9.360672,0.084,5739.0,0
Kepler-215 c,Kepler-215,2014.0,1.77,14.667108,0.113,5739.0,0
Kepler-215 d,Kepler-215,2014.0,2.39,30.864423,0.185,5739.0,0
Kepler-215 e,Kepler-215,2014.0,1.75,68.16101,0.314,5739.0,0
Kepler-216 b,Kepler-216,2014.0,2.35,7.693641,0.079,6091.0,0
Kepler-216 c,Kepler-216,2014.0,3.04,17.406669,0.136,6091.0,0
Kepler-217 b,Kepler-217,2014.0,2.23,5.374943,0.065,6171.0,0
Kepler-217 c,Kepler-217,2014.0,1.85,8.586004,0.089,6171.0,0
Kepler-218 b,Kepler-218,2014.0,1.48,3.619337,0.046,5502.0,0
Kepler-218 c,Kepler-218,2014.0,3.14,44.699576,0.248,5502.0,0
Kepler-219 b,Kepler-219,2014.0,2.95,4.585512,0.057,5786.0,0
Kepler-219 c,Kepler-219,2014.0,3.58,22.714613,0.165,5786.0,0
Kepler-219 d,Kepler-219,2014.0,2.81,47.903645,0.272,5786.0,0
Kepler-22 b,Kepler-22,2011.0,2.1,289.863876,0.812,5596.0,0
Kepler-220 b,Kepler-220,2014.0,0.81,4.159807,0.046,4632.0,0
Kepler-220 c,Kepler-220,2014.0,1.57,9.034199,0.076,4632.0,0
Kepler-220 d,Kepler-220,2014.0,0.98,28.122397,0.163,4632.0,0
Kepler-220 e,Kepler-220,2014.0,1.33,45.902733,0.226,4632.0,0
Kepler-221 b,Kepler-221,2014.0,1.71,2.795906,0.037,5243.0,0
Kepler-221 c,Kepler-221,2014.0,2.93,5.690586,0.059,5243.0,0
Kepler-221 d,Kepler-221,2014.0,2.73,10.04156,0.087,5243.0,0
Kepler-221 e,Kepler-221,2014.0,2.63,18.369917,0.13,5243.0,0
Kepler-222 b,Kepler-222,2014.0,3.16,3.936981,0.048,5433.0,0
Kepler-222 c,Kepler-222,2014.0,4.64,10.08881,0.091,5433.0,0
Kepler-222 d,Kepler-222,2014.0,3.69,28.081912,0.18,5433.0,0
Kepler-224 b,Kepler-224,2014.0,1.39,3.132924,0.038,5018.0,0
Kepler-224 c,Kepler-224,2014.0,3.12,5.925003,0.058,5018.0,0
Kepler-224 d,Kepler-224,2014.0,2.3,11.349393,0.089,5018.0,0
Kepler-224 e,Kepler-224,2014.0,1.97,18.643577,0.124,5018.0,0
Kepler-225 b,Kepler-225,2014.0,1.2,6.738975,0.056,3682.0,0
Kepler-225 c,Kepler-225,2014.0,1.84,18.794234,0.111,3682.0,0
Kepler-226 b,Kepler-226,2014.0,1.55,3.940997,0.047,5571.0,0
Kepler-226 c,Kepler-226,2014.0,2.27,5.349555,0.058,5571.0,0
Kepler-226 d,Kepler-226,2014.0,1.22,8.109044,0.076,5571.0,0
Kepler-227 b,Kepler-227,2014.0,3.11,9.488015,0.09,5854.0,0
Kepler-227 c,Kepler-227,2014.0,3.04,54.418694,0.29,5854.0,0
Kepler-228 b,Kepler-228,2014.0,1.53,2.566546,0.038,6043.0,0
Kepler-228 c,Kepler-228,2014.0,2.7,4.134444,0.052,6043.0,0
Kepler-228 d,Kepler-228,2014.0,4.04,11.094286,0.101,6043.0,0
Kepler-229 b,Kepler-229,2014.0,2.2,6.252972,0.062,5120.0,0
Kepler-229 c,Kepler-229,2014.0,4.92,16.068638,0.117,5120.0,0
Kepler-229 d,Kepler-229,2014.0,3.85,41.194912,0.22,5120.0,0
Kepler-230 b,Kepler-230,2014.0,4.26,32.625555,0.191,5588.0,0
Kepler-230 c,Kepler-230,2014.0,2.04,91.773242,0.38,5588.0,0
Kepler-231 b,Kepler-231,2014.0,1.73,10.065275,0.074,3767.0,0
Kepler-231 c,Kepler-231,2014.0,1.93,19.271566,0.114,3767.0,0
Kepler-232 b,Kepler-232,2014.0,3.08,4.431222,0.054,5847.0,0
Kepler-232 c,Kepler-232,2014.0,3.83,11.379349,0.101,5847.0,0
Kepler-233 b,Kepler-233,2014.0,2.43,8.472382,0.077,5360.0,0
Kepler-233 c,Kepler-233,2014.0,2.71,60.418955,0.287,5360.0,0
Kepler-234 b,Kepler-234,2014.0,3.7,2.711506,0.04,6224.0,0
Kepler-234 c,Kepler-234,2014.0,3.51,7.21205,0.077,6224.0,0
Kepler-235 b,Kepler-235,2014.0,2.23,3.340222,0.037,4255.0,0
Kepler-235 c,Kepler-235,2014.0,1.28,7.824904,0.065,4255.0,0
Kepler-235 d,Kepler-235,2014.0,2.05,20.060548,0.122,4255.0,0
Kepler-235 e,Kepler-235,2014.0,2.22,46.183669,0.213,4255.0,0
Kepler-236 b,Kepler-236,2014.0,1.57,8.295611,0.065,3750.0,0
Kepler-236 c,Kepler-236,2014.0,2.0,23.968127,0.132,3750.0,0
Kepler-237 b,Kepler-237,2014.0,1.41,4.715106,0.05,4861.0,0
Kepler-237 c,Kepler-237,2014.0,2.08,8.103636,0.071,4861.0,0
Kepler-238 b,Kepler-238,2014.0,1.73,2.090876,0.034,5751.0,0
Kepler-238 c,Kepler-238,2014.0,2.39,6.155557,0.069,5751.0,0
Kepler-238 d,Kepler-238,2014.0,3.07,13.233549,0.115,5751.0,0
Kepler-239 b,Kepler-239,2014.0,2.33,11.763051,0.095,4914.0,0
Kepler-239 c,Kepler-239,2014.0,2.51,56.228098,0.268,4914.0,0
Kepler-24 d,Kepler-24,2014.0,1.67,4.244384,0.051,5897.0,0
